playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,IP,WHIP,K/9,BB/9,HR/9,KPct,PlayerName
nolasri01,2012,1,MIA,NL,12,13,31,31,3,2,0,573.0,214,95,18,47,125,0.285,4.48,9.0,8.0,8.0,1,832.0,0.0,100,19.0,6.0,,191.0,1.37,5.89,2.21,0.85,15.02,Ricky Nolasco
norribu01,2012,1,HOU,NL,7,13,29,29,0,0,0,505.0,165,87,23,66,165,0.254,4.65,2.0,8.0,8.0,0,733.0,0.0,90,7.0,2.0,,168.33,1.37,8.82,3.53,1.23,22.51,Bud Norris
novaiv01,2012,1,NYA,AL,12,8,28,28,0,0,0,511.0,194,95,28,56,153,0.288,5.02,3.0,6.0,10.0,2,748.0,0.0,100,3.0,6.0,,170.33,1.47,8.08,2.96,1.48,20.45,Ivan Nova
parkeja02,2012,1,OAK,AL,13,8,29,29,0,0,0,544.0,166,70,11,63,140,0.248,3.47,3.0,10.0,3.0,0,751.0,0.0,71,7.0,8.0,,181.33,1.26,6.95,3.13,0.55,18.64,Jarrod Parker
peavyja01,2012,1,CHA,AL,11,12,32,32,4,1,0,657.0,191,82,27,49,194,0.234,3.37,1.0,3.0,10.0,2,882.0,0.0,88,1.0,6.0,,219.0,1.1,7.97,2.01,1.11,22.0,Jake Peavy
porceri01,2012,1,DET,AL,10,12,31,31,0,0,0,529.0,226,90,16,44,107,0.31,4.59,3.0,6.0,6.0,0,783.0,0.0,101,2.0,3.0,,176.33,1.53,5.46,2.25,0.82,13.67,Rick Porcello
priceda01,2012,1,TBA,AL,20,5,31,31,2,1,0,633.0,173,60,16,59,205,0.226,2.56,2.0,8.0,5.0,1,836.0,0.0,63,2.0,3.0,,211.0,1.1,8.74,2.52,0.68,24.52,David Price
quintjo01,2012,1,CHA,AL,6,6,25,22,0,0,0,409.0,142,57,14,42,81,0.275,3.76,4.0,10.0,3.0,2,568.0,2.0,62,5.0,1.0,,136.33,1.35,5.35,2.77,0.92,14.26,Jose Quintana
richacl01,2012,1,SDN,NL,14,14,33,33,1,1,0,656.0,228,97,31,42,107,0.267,3.99,4.0,4.0,6.0,2,910.0,0.0,110,3.0,6.0,,218.67,1.23,4.4,1.73,1.28,11.76,Clayton Richard
rodriwa01,2012,1,HOU,NL,7,9,21,21,0,0,0,392.0,134,55,13,32,89,0.26,3.79,2.0,5.0,2.0,0,558.0,0.0,66,5.0,3.0,,130.67,1.27,6.13,2.2,0.9,15.95,Wandy Rodriguez
romerri01,2012,1,TOR,AL,9,14,32,32,1,0,0,543.0,198,116,21,105,124,0.282,5.77,1.0,8.0,10.0,0,829.0,0.0,122,7.0,4.0,,181.0,1.67,6.17,5.22,1.04,14.96,Ricky Romero
sabatcc01,2012,1,NYA,AL,15,6,28,28,2,0,0,600.0,184,75,22,44,197,0.238,3.38,2.0,4.0,8.0,1,833.0,0.0,89,4.0,3.0,,200.0,1.14,8.86,1.98,0.99,23.65,CC Sabathia
salech01,2012,1,CHA,AL,17,8,30,29,1,0,0,576.0,167,65,19,51,192,0.235,3.05,5.0,6.0,6.0,0,772.0,0.0,66,1.0,3.0,,192.0,1.14,9.0,2.39,0.89,24.87,Chris Sale
samarje01,2012,1,CHN,NL,9,13,28,28,1,0,0,524.0,157,74,20,56,180,0.24,3.81,2.0,10.0,4.0,0,723.0,0.0,79,5.0,4.0,,174.67,1.22,9.27,2.89,1.03,24.9,Jeff Samardzija
sanchan01,2012,1,MIA,NL,5,7,19,19,0,0,0,363.0,119,53,12,33,110,0.259,3.94,2.0,4.0,2.0,1,504.0,0.0,59,4.0,5.0,,121.0,1.26,8.18,2.45,0.89,21.83,Anibal Sanchez
